recorded_at,unit,water_level
2021-11-27 09:00:00,m,0.54
2021-11-28 08:00:00,m,2.28
2021-11-28 09:00:00,m,2.23
2021-11-29 08:00:00,m,0.92
2021-11-29 09:00:00,m,0.81
2021-11-30 08:00:00,m,0.41
2021-11-30 09:00:00,m,0.4
2021-12-01 08:00:00,m,0.36
2021-12-01 09:00:00,m,0.36
2021-12-02 08:00:00,m,0.2
2021-12-02 09:00:00,m,0.2
2021-12-05 08:00:00,m,0.62
2021-12-05 09:00:00,m,0.69
2021-12-07 08:00:00,m,0.1
2021-12-07 09:00:00,m,0.1
2021-12-08 08:00:00,m,0.24
2021-12-08 09:00:00,m,0.28
2021-12-19 08:00:00,m,0.97
2021-12-19 09:00:00,m,0.97
2021-12-20 08:00:00,m,0.44
2021-12-20 09:00:00,m,0.42
2022-01-10 08:00:00,m,0.44
2022-01-10 09:00:00,m,0.5
2022-01-13 08:00:00,m,
2022-01-13 09:00:00,m,
2022-02-13 08:00:00,m,0.34
2022-02-13 09:00:00,m,0.42
2022-04-09 08:00:00,m,0.79
2022-04-09 09:00:00,m,0.84
2022-04-10 08:00:00,m,
2022-04-10 09:00:00,m,
2022-04-11 08:00:00,m,
2022-04-11 09:00:00,m,
2022-04-16 08:00:00,m,
2022-04-16 09:00:00,m,
2022-04-24 08:00:00,m,
2022-04-24 09:00:00,m,
2022-05-05 08:00:00,m,
2022-05-05 09:00:00,m,
2022-05-06 08:00:00,m,
2022-05-06 09:00:00,m,
2022-05-07 08:00:00,m,
2022-05-07 09:00:00,m,
2022-05-11 08:00:00,m,
2022-05-11 09:00:00,m,
2022-05-12 08:00:00,m,
2022-05-12 09:00:00,m,
2022-05-13 08:00:00,m,
2022-05-13 09:00:00,m,
2022-05-14 08:00:00,m,
2022-05-14 09:00:00,m,
2022-05-15 08:00:00,m,
2022-05-15 09:00:00,m,
2022-05-16 08:00:00,m,
2022-05-16 09:00:00,m,
2022-05-17 08:00:00,m,
2022-05-17 09:00:00,m,
2022-05-18 08:00:00,m,
2022-05-18 09:00:00,m,
2022-05-20 08:00:00,m,
2022-05-20 09:00:00,m,
2022-05-21 08:00:00,m,
2022-05-21 09:00:00,m,
2022-05-22 08:00:00,m,
2022-05-22 09:00:00,m,
2022-05-25 08:00:00,m,
2022-05-25 09:00:00,m,
2022-05-26 08:00:00,m,
2022-05-26 09:00:00,m,
2022-05-27 08:00:00,m,
2022-05-27 09:00:00,m,
2022-05-28 08:00:00,m,
2022-05-28 09:00:00,m,
2022-05-29 08:00:00,m,
2022-05-29 09:00:00,m,
2022-05-30 08:00:00,m,
2022-05-30 09:00:00,m,
2022-05-31 08:00:00,m,
2022-05-31 09:00:00,m,
2022-06-01 08:00:00,m,
2022-06-01 09:00:00,m,
2022-06-02 08:00:00,m,
2022-06-02 09:00:00,m,
2022-06-03 08:00:00,m,
2022-06-03 09:00:00,m,
2022-06-07 08:00:00,m,
2022-06-07 09:00:00,m,
2022-06-10 08:00:00,m,
2022-06-10 09:00:00,m,
2022-07-03 08:00:00,m,
2022-07-03 09:00:00,m,
2022-07-04 08:00:00,m,
2022-07-04 09:00:00,m,
2022-07-22 08:00:00,m,
2022-07-22 09:00:00,m,
2022-08-01 08:00:00,m,
2022-08-01 09:00:00,m,
2022-08-02 08:00:00,m,
2022-08-02 09:00:00,m,
2022-08-03 08:00:00,m,
2022-08-03 09:00:00,m,
2022-08-04 08:00:00,m,
2022-08-04 09:00:00,m,
2022-08-05 08:00:00,m,
2022-08-05 09:00:00,m,
2022-08-06 08:00:00,m,
2022-08-06 09:00:00,m,
2022-08-07 08:00:00,m,
2022-08-07 09:00:00,m,
2022-08-08 08:00:00,m,
2022-08-08 09:00:00,m,
2022-08-27 08:00:00,m,
2022-08-27 09:00:00,m,
2022-08-31 08:00:00,m,
2022-08-31 09:00:00,m,
2022-09-03 08:00:00,m,
2022-09-03 09:00:00,m,
2022-09-04 08:00:00,m,
2022-09-04 09:00:00,m,
2022-09-05 08:00:00,m,
2022-09-05 09:00:00,m,
2022-09-06 08:00:00,m,
2022-09-06 09:00:00,m,
2022-09-07 08:00:00,m,
2022-09-07 09:00:00,m,
2022-09-08 08:00:00,m,
2022-09-08 09:00:00,m,
2022-09-09 08:00:00,m,
2022-09-09 09:00:00,m,
2022-09-10 08:00:00,m,
2022-09-10 09:00:00,m,
2022-10-13 08:00:00,m,
2022-10-13 09:00:00,m,
2022-10-14 08:00:00,m,
2022-10-14 09:00:00,m,
2022-10-15 08:00:00,m,
2022-10-15 09:00:00,m,
2022-10-16 08:00:00,m,
2022-10-16 09:00:00,m,
2022-10-17 08:00:00,m,
2022-10-17 09:00:00,m,
2022-10-18 08:00:00,m,
2022-10-18 09:00:00,m,
2022-10-19 08:00:00,m,
2022-10-19 09:00:00,m,
2022-10-20 08:00:00,m,
2022-10-20 09:00:00,m,
2022-10-21 08:00:00,m,
2022-10-21 09:00:00,m,
2022-10-22 08:00:00,m,
2022-10-22 09:00:00,m,
2022-10-23 08:00:00,m,
2022-10-23 09:00:00,m,
2022-10-26 08:00:00,m,
2022-10-26 09:00:00,m,
2022-10-27 08:00:00,m,
2022-10-27 09:00:00,m,
2022-10-30 08:00:00,m,
2022-10-30 09:00:00,m,
2022-10-31 08:00:00,m,
2022-10-31 09:00:00,m,
2022-11-05 08:00:00,m,
2022-11-05 09:00:00,m,0.0
2022-11-06 08:00:00,m,0.44
2022-11-06 09:00:00,m,0.53
2022-11-07 08:00:00,m,
2022-11-07 09:00:00,m,
2022-11-08 08:00:00,m,
2022-11-08 09:00:00,m,
2022-11-09 08:00:00,m,0.41
2022-11-09 09:00:00,m,0.44
2022-11-10 08:00:00,m,0.51
2022-11-10 09:00:00,m,0.48
2022-11-11 08:00:00,m,0.13
2022-11-11 09:00:00,m,0.11
2022-11-12 08:00:00,m,
2022-11-12 09:00:00,m,
2022-11-15 08:00:00,m,0.52
2022-11-15 09:00:00,m,0.49
2022-11-17 08:00:00,m,0.09
2022-11-17 09:00:00,m,0.07
2022-12-03 08:00:00,m,
2022-12-03 09:00:00,m,
2022-12-05 08:00:00,m,
2022-12-05 09:00:00,m,
2022-12-06 08:00:00,m,
2022-12-06 09:00:00,m,
2022-12-07 08:00:00,m,
2022-12-07 09:00:00,m,
2022-12-18 08:00:00,m,
2022-12-18 09:00:00,m,
2022-12-21 08:00:00,m,0.36
2022-12-21 09:00:00,m,0.41
2022-12-26 08:00:00,m,1.13
2022-12-26 09:00:00,m,1.04
2023-01-31 08:00:00,m,
2023-01-31 09:00:00,m,
2023-02-01 08:00:00,m,
2023-02-01 09:00:00,m,
2023-02-02 14:00:00,m,
2023-02-02 15:00:00,m,
2023-02-03 14:00:00,m,0.5
2023-02-03 15:00:00,m,0.46
2023-02-04 08:00:00,m,0.11
2023-02-04 09:00:00,m,0.11
2023-02-05 14:00:00,m,0.81
2023-02-05 15:00:00,m,0.76
2023-03-02 08:00:00,m,0.42
2023-03-02 09:00:00,m,0.41
2023-04-29 08:00:00,m,
2023-04-29 09:00:00,m,
2023-04-30 08:00:00,m,
2023-04-30 09:00:00,m,
2023-05-02 08:00:00,m,
2023-05-02 09:00:00,m,
2023-05-04 08:00:00,m,
2023-05-04 09:00:00,m,
2023-05-05 08:00:00,m,1.31
2023-05-05 09:00:00,m,1.21
2023-05-06 08:00:00,m,0.13
2023-05-06 09:00:00,m,0.1
2023-05-07 08:00:00,m,
2023-05-07 09:00:00,m,
2023-05-10 08:00:00,m,
2023-05-10 09:00:00,m,
2023-05-12 08:00:00,m,
2023-05-12 09:00:00,m,
2023-05-13 08:00:00,m,
2023-05-13 09:00:00,m,
2023-05-14 08:00:00,m,
2023-05-14 09:00:00,m,
2023-05-15 08:00:00,m,
2023-05-15 09:00:00,m,
2023-05-16 08:00:00,m,
2023-05-16 09:00:00,m,
2023-05-17 08:00:00,m,
2023-05-17 09:00:00,m,
2023-05-18 08:00:00,m,
2023-05-18 09:00:00,m,
2023-05-20 08:00:00,m,
2023-05-20 09:00:00,m,
2023-05-21 08:00:00,m,
2023-05-21 09:00:00,m,
2023-05-22 08:00:00,m,
2023-05-22 09:00:00,m,
2023-05-29 08:00:00,m,
2023-05-29 09:00:00,m,
2023-05-30 08:00:00,m,
2023-05-30 09:00:00,m,
2023-05-31 08:00:00,m,
2023-05-31 09:00:00,m,
2023-06-02 08:00:00,m,
2023-06-02 09:00:00,m,
2023-06-03 08:00:00,m,
2023-06-03 09:00:00,m,
2023-06-04 08:00:00,m,
2023-06-04 09:00:00,m,
2023-06-05 08:00:00,m,
2023-06-05 09:00:00,m,
2023-06-06 08:00:00,m,
2023-06-06 09:00:00,m,
2023-06-07 08:00:00,m,
2023-06-07 09:00:00,m,
2023-06-08 08:00:00,m,
2023-06-08 09:00:00,m,
2023-06-09 08:00:00,m,
2023-06-09 09:00:00,m,
2023-06-13 08:00:00,m,
2023-06-13 09:00:00,m,
2023-06-14 08:00:00,m,
2023-06-14 09:00:00,m,
2023-06-16 08:00:00,m,
2023-06-16 09:00:00,m,
2023-06-17 08:00:00,m,
2023-06-17 09:00:00,m,
2023-06-19 08:00:00,m,
2023-06-19 09:00:00,m,
2023-06-30 08:00:00,m,
2023-06-30 09:00:00,m,
2023-07-03 08:00:00,m,
2023-07-03 09:00:00,m,
2023-07-04 08:00:00,m,
2023-07-04 09:00:00,m,
2023-07-05 08:00:00,m,
2023-07-05 09:00:00,m,
2023-07-07 08:00:00,m,
2023-07-07 09:00:00,m,
2023-07-17 08:00:00,m,
2023-07-17 09:00:00,m,
2023-08-14 08:00:00,m,
2023-08-14 09:00:00,m,
2023-08-27 08:00:00,m,
2023-08-27 09:00:00,m,
2023-08-31 08:00:00,m,
2023-08-31 09:00:00,m,
2023-09-01 08:00:00,m,
2023-09-01 09:00:00,m,
2023-09-02 08:00:00,m,
2023-09-02 09:00:00,m,
2023-09-03 08:00:00,m,
2023-09-03 09:00:00,m,
2023-09-04 08:00:00,m,
2023-09-04 09:00:00,m,
2023-09-05 08:00:00,m,
2023-09-05 09:00:00,m,
2023-09-06 08:00:00,m,
2023-09-06 09:00:00,m,
2023-09-07 08:00:00,m,
2023-09-07 09:00:00,m,
2023-09-08 08:00:00,m,
2023-09-08 09:00:00,m,
2023-09-09 08:00:00,m,
2023-09-09 09:00:00,m,
2023-09-10 08:00:00,m,
2023-09-10 09:00:00,m,
2023-09-11 08:00:00,m,
2023-09-11 09:00:00,m,
2023-09-12 08:00:00,m,
2023-09-12 09:00:00,m,
2023-09-13 08:00:00,m,
2023-09-13 09:00:00,m,
2023-09-14 08:00:00,m,
2023-09-14 09:00:00,m,
2023-09-15 08:00:00,m,
2023-09-15 09:00:00,m,
2023-09-16 08:00:00,m,
2023-09-16 09:00:00,m,
2023-09-17 08:00:00,m,
2023-09-17 09:00:00,m,
2023-09-18 08:00:00,m,
2023-09-18 09:00:00,m,
2023-09-19 08:00:00,m,
2023-09-19 09:00:00,m,
2023-09-20 08:00:00,m,
2023-09-20 09:00:00,m,1.43
2023-09-21 08:00:00,m,
2023-09-21 09:00:00,m,
2023-09-22 08:00:00,m,
2023-09-22 09:00:00,m,
2023-09-23 08:00:00,m,
2023-09-23 09:00:00,m,
2023-09-27 08:00:00,m,
2023-09-27 09:00:00,m,
2023-09-28 08:00:00,m,
2023-09-28 09:00:00,m,
2023-09-29 08:00:00,m,
2023-09-29 09:00:00,m,
2023-09-30 08:00:00,m,
2023-09-30 09:00:00,m,
2023-10-01 08:00:00,m,
2023-10-01 09:00:00,m,
2023-10-02 08:00:00,m,
2023-10-02 09:00:00,m,
2023-10-03 08:00:00,m,
2023-10-03 09:00:00,m,
2023-10-04 08:00:00,m,
2023-10-04 09:00:00,m,
2023-10-05 08:00:00,m,
2023-10-05 09:00:00,m,
2023-10-06 08:00:00,m,
2023-10-06 09:00:00,m,
2023-10-07 08:00:00,m,
2023-10-07 09:00:00,m,
2023-10-08 08:00:00,m,
2023-10-08 09:00:00,m,
2023-10-09 08:00:00,m,
2023-10-09 09:00:00,m,
2023-10-10 08:00:00,m,
2023-10-10 09:00:00,m,
2023-10-11 08:00:00,m,
2023-10-11 09:00:00,m,
2023-10-12 08:00:00,m,
2023-10-12 09:00:00,m,
2023-10-13 08:00:00,m,
2023-10-13 09:00:00,m,
2023-10-14 08:00:00,m,0.95
2023-10-14 09:00:00,m,0.95
2023-10-15 08:00:00,m,
2023-10-15 09:00:00,m,
2023-10-16 08:00:00,m,
2023-10-16 09:00:00,m,
2023-10-17 08:00:00,m,
2023-10-17 09:00:00,m,
2023-10-18 08:00:00,m,
2023-10-18 09:00:00,m,
2023-10-19 08:00:00,m,
2023-10-19 09:00:00,m,
2023-10-20 08:00:00,m,
2023-10-20 09:00:00,m,
2023-10-21 08:00:00,m,
2023-10-21 09:00:00,m,
2023-10-22 08:00:00,m,
2023-10-22 09:00:00,m,
2023-10-23 08:00:00,m,0.17
2023-10-23 09:00:00,m,0.17
2023-10-24 08:00:00,m,
2023-10-24 09:00:00,m,
2023-10-25 08:00:00,m,
2023-10-25 09:00:00,m,
2023-10-26 08:00:00,m,
2023-10-26 09:00:00,m,
2023-10-27 08:00:00,m,
2023-10-27 09:00:00,m,
2023-10-28 08:00:00,m,
2023-10-28 09:00:00,m,
2023-10-29 08:00:00,m,
2023-10-29 09:00:00,m,
2023-10-31 08:00:00,m,
2023-10-31 09:00:00,m,
2023-11-01 08:00:00,m,
2023-11-01 09:00:00,m,
2023-11-02 08:00:00,m,
2023-11-02 09:00:00,m,
2023-11-03 08:00:00,m,
2023-11-03 09:00:00,m,
2023-11-04 08:00:00,m,
2023-11-04 09:00:00,m,
2023-11-05 08:00:00,m,
2023-11-05 09:00:00,m,
2023-11-06 08:00:00,m,
2023-11-06 09:00:00,m,
2023-11-07 08:00:00,m,
2023-11-07 09:00:00,m,
2023-11-08 08:00:00,m,0.31
2023-11-08 09:00:00,m,0.31
2023-11-09 08:00:00,m,
2023-11-09 09:00:00,m,
2023-11-10 08:00:00,m,0.81
2023-11-10 09:00:00,m,0.94
2023-11-11 08:00:00,m,
2023-11-11 09:00:00,m,
2023-11-12 08:00:00,m,
2023-11-12 09:00:00,m,
2023-11-13 08:00:00,m,0.16
2023-11-13 09:00:00,m,0.14
2023-11-14 08:00:00,m,
2023-11-14 09:00:00,m,
2023-11-15 08:00:00,m,
2023-11-15 09:00:00,m,
2023-11-16 08:00:00,m,
2023-11-16 09:00:00,m,
2023-11-17 08:00:00,m,0.07
2023-11-17 09:00:00,m,0.03
2023-11-18 08:00:00,m,
2023-11-18 09:00:00,m,
2023-11-19 08:00:00,m,1.16
2023-11-19 09:00:00,m,1.51
2023-11-20 08:00:00,m,0.41
2023-11-20 09:00:00,m,0.41
2023-11-21 08:00:00,m,0.41
2023-11-21 09:00:00,m,0.46
2023-11-22 08:00:00,m,1.16
2023-11-22 09:00:00,m,1.16
2023-11-23 08:00:00,m,1.06
2023-11-23 09:00:00,m,1.14
2023-11-24 08:00:00,m,0.28
2023-11-24 09:00:00,m,0.28
2023-11-25 08:00:00,m,
2023-11-25 09:00:00,m,
2023-11-26 08:00:00,m,
2023-11-26 09:00:00,m,
2023-11-27 08:00:00,m,
2023-11-27 09:00:00,m,
2023-11-28 08:00:00,m,0.73
2023-11-28 09:00:00,m,0.78
2023-11-29 08:00:00,m,0.54
2023-11-29 09:00:00,m,0.55
2023-11-30 08:00:00,m,1.14
2023-11-30 09:00:00,m,1.16
2023-12-02 08:00:00,m,0.61
2023-12-02 09:00:00,m,0.61
2023-12-03 08:00:00,m,0.34
2023-12-03 09:00:00,m,0.33
2023-12-04 08:00:00,m,0.14
2023-12-04 09:00:00,m,0.15
2023-12-05 08:00:00,m,0.13
2023-12-05 09:00:00,m,0.12
2023-12-06 08:00:00,m,
2023-12-06 09:00:00,m,
2023-12-07 08:00:00,m,0.29
2023-12-07 09:00:00,m,0.31
2023-12-08 08:00:00,m,1.59
2023-12-08 09:00:00,m,1.73
2023-12-09 08:00:00,m,2.09
2023-12-09 09:00:00,m,2.31
2023-12-10 08:00:00,m,1.07
2023-12-10 09:00:00,m,1.11
2023-12-11 08:00:00,m,1.22
2023-12-11 09:00:00,m,1.23
2023-12-12 08:00:00,m,0.71
2023-12-12 09:00:00,m,0.71
2023-12-13 08:00:00,m,1.32
2023-12-13 09:00:00,m,1.34
2023-12-14 08:00:00,m,0.61
2023-12-14 09:00:00,m,0.61
2023-12-15 08:00:00,m,1.38
2023-12-15 09:00:00,m,1.39
2023-12-16 08:00:00,m,2.26
2023-12-16 09:00:00,m,2.29
2023-12-17 08:00:00,m,1.86
2023-12-17 09:00:00,m,1.89
2023-12-18 08:00:00,m,1.48
2023-12-18 09:00:00,m,1.41
2023-12-19 08:00:00,m,2.38
2023-12-19 09:00:00,m,2.58
2023-12-20 08:00:00,m,2.39
2023-12-20 09:00:00,m,3.49
2023-12-21 08:00:00,m,2.17
2023-12-21 09:00:00,m,2.2
2023-12-22 08:00:00,m,1.54
2023-12-22 09:00:00,m,1.51
2023-12-23 08:00:00,m,0.86
2023-12-23 09:00:00,m,0.86
2023-12-24 08:00:00,m,0.76
2023-12-24 09:00:00,m,0.76
2023-12-27 08:00:00,m,1.1
2023-12-27 09:00:00,m,1.14
2023-12-28 08:00:00,m,3.14
2023-12-28 09:00:00,m,3.33
2023-12-29 08:00:00,m,3.54
2023-12-29 09:00:00,m,3.53
2023-12-30 08:00:00,m,4.17
2023-12-30 09:00:00,m,4.18
2023-12-31 08:00:00,m,4.08
2023-12-31 09:00:00,m,4.11
2024-01-01 08:00:00,m,3.89
2024-01-01 09:00:00,m,3.91
2024-01-02 08:00:00,m,4.2
2024-01-02 09:00:00,m,4.21
2024-01-03 08:00:00,m,3.3
2024-01-03 09:00:00,m,3.19
2024-01-04 08:00:00,m,2.17
2024-01-04 09:00:00,m,2.27
2024-01-05 08:00:00,m,1.81
2024-01-05 09:00:00,m,1.83
2024-01-06 08:00:00,m,1.7
2024-01-06 09:00:00,m,1.68
2024-01-07 08:00:00,m,1.14
2024-01-07 09:00:00,m,1.18
2024-01-08 08:00:00,m,1.29
2024-01-08 09:00:00,m,1.34
2024-01-09 08:00:00,m,2.26
2024-01-09 09:00:00,m,2.42
2024-01-10 08:00:00,m,3.81
2024-01-10 09:00:00,m,3.72
2024-01-11 08:00:00,m,4.04
2024-01-11 09:00:00,m,4.02
2024-01-12 08:00:00,m,2.44
2024-01-12 09:00:00,m,2.37
2024-01-13 08:00:00,m,1.65
2024-01-13 09:00:00,m,1.64
2024-01-14 08:00:00,m,1.24
2024-01-14 09:00:00,m,1.24
2024-01-15 08:00:00,m,1.01
2024-01-15 09:00:00,m,1.02
2024-01-16 08:00:00,m,0.85
2024-01-16 09:00:00,m,0.85
2024-01-17 08:00:00,m,0.72
2024-01-17 09:00:00,m,0.71
2024-01-18 08:00:00,m,0.43
2024-01-18 09:00:00,m,0.43
2024-01-19 08:00:00,m,0.55
2024-01-19 09:00:00,m,0.58
2024-01-20 08:00:00,m,0.54
2024-01-20 09:00:00,m,0.55
2024-01-22 08:00:00,m,0.29
2024-01-22 09:00:00,m,0.32
2024-01-24 08:00:00,m,0.18
2024-01-24 09:00:00,m,0.17
2024-01-27 08:00:00,m,
2024-01-27 09:00:00,m,
2024-02-05 08:00:00,m,0.04
2024-02-05 09:00:00,m,0.04
2024-02-06 08:00:00,m,0.21
2024-02-06 09:00:00,m,0.19
2024-02-07 08:00:00,m,
2024-02-07 09:00:00,m,
2024-02-14 08:00:00,m,
2024-02-14 09:00:00,m,
